global_rank,thread_no,level,author,likes,time,reply_to,comment_id,text
51,6,回复,momo,0,2025-04-20湖北,momo,68043e340000000013013e18,回复 谢思源运动康复 : 好的谢谢老师
52,7,主评论,zz,0,2025-04-16河南,,67ffa714000000001f006a13,我这个是啥博主
53,7,回复,每天进步一点点,0,2025-04-17天津,zz,6800bfc5000000001e0104fe,骨盆前倾
54,7,回复,Mamba.,0,2025-04-18广东,zz,68013ce700000000130113ac,有点富贵包
55,7,回复,随意生活,4,2025-04-23湖南,zz,68084588000000001200b40f,回复 每天进步一点点 : 骨盆哈哈哈哈哈哈哈？
56,8,主评论,kk超级爱吃,4,2025-04-12广东,,67f9ff10000000002001570c,我有个问题，其他的动作要点不变的情况下，我躺着做招财猫它有效么
57,8,回复,瘦肉肠配豆浆,0,2025-04-14美国,kk超级爱吃,67fbfa08000000001e022008,同问
58,8,回复,momo大军,0,2025-04-15浙江,kk超级爱吃,67fda13f000000001e0128f0,不行
59,8,回复,qyllll,0,2025-05-05福建,kk超级爱吃,6817cf2800000000200153d2,你躺着无法平放吧？就是你手压不住，我是这样的呢，我就是之前躺着测试是否有肱骨前移的问题
60,9,主评论,小雨淅淅,15,2025-04-24湖北,,6809e055000000001e018bf0,招财猫一做肩膀跟放炮一样霹雳吧啦的，是不是耳机降噪效果不行啊老师
61,9,回复,谢思源运动康复,2,2025-04-30北京,小雨淅淅,681160db000000001f00943a,那还是换一个训练吧
62,9,回复,超级酷乐猫,1,2025-04-25浙江,小雨淅淅,680bab61000000001200a201,哈哈哈，那我耳机也不行
63,9,回复,小雨淅淅,0,2025-04-26湖北,小雨淅淅,680bbe84000000001301089d,回复 超级酷乐猫 : 赶紧换一个吧[坏笑R]
64,9,回复,胖恩,0,2025-04-26广东,小雨淅淅,680cd64a000000000401e959,哈哈哈哈一样，肩峰碰撞
65,9,回复,qyllll,0,2025-05-05福建,小雨淅淅,6817ce9c00000000200106a4,不排除附近在放鞭炮，但是先换耳机，带降噪的
66,9,回复,谢思源运动康复,1,2025-05-05北京,小雨淅淅,68181b520000000008026e91,回复 qyllll : 😂😂😂
67,9,回复,练瑜伽的薄荷.,0,2025-05-06山东,小雨淅淅,681a03cf000000000702a12c,回复 谢思源运动康复 : 老师，能出一个改善翼状肩胛的视频吗
68,9,回复,小红薯61E836E5,0,2025-08-15山东,小雨淅淅,689f160b000000003002b80a,回复 谢思源运动康复 : 我做这个动作的时候也是肩膀关节处有弹响声，能请教是什么原因吗
69,10,主评论,安然,324,2025-04-12天津,,67f9fffb000000001f02ae0f,收藏从未停止，运动从未开始
70,10,回复,谢思源运动康复,169,2025-04-12北京,安然,67fa0482000000001200a054,等我出合集，这样你就可以跟着练
71,10,回复,Moo,6,2025-04-12北京,安然,67fa24b1000000001e012773,回复 谢思源运动康复 : please please
72,10,回复,落瑾,3,2025-04-13山东,安然,67fb31c7000000001e03fb02,回复 谢思源运动康复 : 蹲一下跟练版的
73,10,回复,煎煎日记,1,2025-04-13广东,安然,67fb36d3000000001e014fdf,回复 谢思源运动康复 : 蹲
74,10,回复,玖弦,0,2025-04-13江西,安然,67fb445300000000120218de,回复 谢思源运动康复 : 蹲
75,10,回复,哦买嘎,0,2025-04-13山东,安然,67fb593f000000001e01374c,回复 谢思源运动康复 : 蹲蹲跟练
76,10,回复,调查职场专家,0,2025-04-13贵州,安然,67fb9e38000000001f00721e,回复 谢思源运动康复 : 蹲
77,10,回复,嗯嗯那好吧,0,2025-04-13中国澳门,安然,67fbd1980000000012002103,回复 谢思源运动康复 : 蹲
78,10,回复,晒不黑的🦊,0,2025-04-13四川,安然,67fbdb82000000001f01a91e,回复 谢思源运动康复 : 蹲蹲～
79,10,回复,猫狗两下,0,2025-04-14浙江,安然,67fbf668000000001e03d0ca,回复 谢思源运动康复 : 蹲！
80,10,回复,策策,0,2025-04-14云南,安然,67fc6185000000001f018919,回复 谢思源运动康复 : 蹲
81,11,主评论,羽商,0,2025-05-05安徽,,68185636000000001301218e,我做的时候咔嚓响
82,11,回复,羽商,1,2025-05-05安徽,羽商,68185647000000000401e1ef,还能做吗
83,11,回复,xoxolilo,0,2025-05-06黑龙江,羽商,6819db6700000000130110ea,ihjhhhgxdy9.0？ftllmn
84,12,主评论,momo,1,2025-06-10陕西,,68484f63000000000a03479b,做这个肩膀一直响
85,12,回复,谢思源运动康复,1,2025-06-11北京,momo,68493aa5000000000a0369ae,说明肱骨头错位，需要更多背部的肌肉训练配合进行这个训练
86,12,回复,难评,0,2025-06-16广西,momo,68500464000000000d0147af,回复 谢思源运动康复 : 也就是练背一定程度上可以减小肱骨前移吗
87,13,主评论,Yara,32,2025-04-07广东,,67f3370a0000000020010e86,肩膀那里咯咯响是正常的吗
88,13,回复,谢思源运动康复,32,2025-04-12北京,Yara,67f9a6f50000000012003e3a,现在超过一半的人在肩关节大范围活动时候都会弹响，如果只是某个角度弹响，不伴随疼痛不需要干预。
89,13,回复,蛋哥妮妹的开心果,0,2025-04-07上海,Yara,67f364a00000000012023cc6,我也想问
90,13,回复,永远的第三人称,0,2025-04-07广东,Yara,67f3988e000000001e039470,偶尔响正常，如果经常响就不正常了。成因比较复杂，如果不痛不影响训练，需要很长的时间改善过来
91,13,回复,疯哥,0,2025-04-07四川,Yara,67f3f54b0000000020011d91,我也响，应该不正常
92,13,回复,油炸冰豆花,1,2025-04-08山西,Yara,67f424f2000000001f02a042,不正常 说明你已经保持不好的姿态有一段时间了 我以前也响 现在已经发展成了抬胳膊就会痛 好像叫肩峰撞击 你可以想一下你平常坐姿啊 体态有没有不太好 我就是长期伏案➕脖子前伸 感觉机构没有力量能拉住头了 尽量早休息早改善
93,13,回复,Jocelyn.,0,2025-04-09贵州,Yara,67f685f6000000001f0289d1,就是因为肱骨前移导致了各种体态问题 所以会咯吱响因为我正在调整 我也响
94,13,回复,K111,0,2025-04-12上海,Yara,67f94203000000001f00a190,肩峰撞击了，去医院康复科看看
95,13,回复,momo,0,2025-04-12广东,Yara,67f946a8000000001f019e15,我也是！
96,13,回复,谢思源运动康复,0,2025-04-12北京,Yara,67f9a7180000000012000258,回复 K111 : 建议先去医院看，之后再康复
97,14,主评论,夕颜,0,2025-04-24湖北,,680a164f000000001f02bd26,这个动作是让关节调整到原本应该在的位置上，然后再做运动改善？
98,14,回复,谢思源运动康复,1,2025-04-25陕西,夕颜,680af0fe0000000012010243,在关节正确的位置上训练是最关键的
99,14,回复,夕颜,0,2025-04-25湖北,夕颜,680afead000000001f00f87a,回复 谢思源运动康复 : 是呢
100,14,回复,💭,0,2025-04-25福建,夕颜,680b7fde000000000400aabb,回复 谢思源运动康复 : [扶额R]所以跟练版出了吗
101,15,主评论,小林墩儿,9,2025-04-14辽宁,,67fc628400000000120097c5,老师我非常需要就是我肩膀总是不自觉耸肩，该怎么改善
102,15,回复,谢思源运动康复,1,2025-04-15北京,小林墩儿,67fd9830000000001f009eae,那是另一个问题哈
103,15,回复,小林墩儿,0,2025-04-15辽宁,小林墩儿,67fdca6b0000000012010128,回复 谢思源运动康复 : 感谢老师的回复，希望老师能发发视频教教我，真的十分困扰
104,15,回复,虫虫钻地,0,2025-04-15吉林,小林墩儿,67fde382000000001e01507a,回复 谢思源运动康复 : 蹲
105,15,回复,家有猪宝💕,1,2025-04-16浙江,小林墩儿,67ff35ce0000000012011a69,多练站桩
106,15,回复,ien,0,2025-07-11广东,小林墩儿,68710e1c00000000060043d0,回复 谢思源运动康复 : 蹲
107,16,主评论,我乐观极了,0,2025-04-23俄罗斯,,6807f895000000001f00a871,老师肩部一直弹响请问怎么办
108,16,回复,谢思源运动康复,2,2025-04-24北京,我乐观极了,68096a81000000001f004c1a,这种情况就先不要做这个练习先做拉伸改善关节后侧关节囊的张力。
109,16,回复,我乐观极了,0,2025-04-24俄罗斯,我乐观极了,6809d109000000001f004ac1,回复 谢思源运动康复 : 好的感谢，期待老师继续更新
110,17,主评论,糕贵,1,2025-04-07浙江,,67f3a60f000000001f004b03,做的时候肩膀嘎嘣嘎嘣的正常吗
111,17,回复,一个INFP的跳坑记🌻,0,2025-04-08北京,糕贵,67f515a6000000001f000c5e,我也是 肩这块很不稳定导致的
112,18,主评论,momo,0,2025-04-27四川,,680df425000000000401db1d,老师这样做可以不影响斜方肌吗？因为了打了瘦肩针好多上肢运动不敢做
113,18,回复,谢思源运动康复,0,2025-04-30北京,momo,68115b260000000012002563,你可以侧卧做
114,18,回复,momo,0,2025-04-30四川,momo,681169da000000000401c7dd,回复 谢思源运动康复 : 谢谢老师！
115,18,回复,乐多多小姐,0,03-10上海,momo,69b03ac90000000002034e0f,回复 谢思源运动康复 : 侧卧怎么做？谢谢
116,19,主评论,吃饭吃肉,2,2025-04-18广东,,68014c4b00000000130107bc,那我躺着是不是就可以完成这个姿势了背部贴床手贴床
117,19,回复,谢思源运动康复,0,2025-04-24北京,吃饭吃肉,68096aed000000001200179f,因为要侧身，抗重力，躺着效果不好
118,19,回复,也罢y3-,0,2025-04-20湖南,吃饭吃肉,6803ea42000000001202238f,我也是躺着行动
119,20,主评论,整理收纳师 姗姗,1,2025-07-30江苏,,6889d187000000002902f355,能不能出个详细的教程讲解
120,20,回复,谢思源运动康复,1,2025-07-31马尔代夫,整理收纳师 姗姗,688aeb94000000002b004193,还没剪出来
121,20,回复,添加一个名字,0,2025-08-14北京,整理收纳师 姗姗,689daa040000000027001f8b,回复 谢思源运动康复 : 老师，您加油啊，我们在等呢，哈哈
122,21,主评论,～小酒窝🌸,0,2025-04-28广东,,680f92c1000000001f00523f,老师 我适合练你这个动作吗
123,21,回复,谢思源运动康复,0,2025-04-30北京,～小酒窝🌸,68115aed0000000012012a62,可以的
124,21,回复,～小酒窝🌸,0,2025-05-02广东,～小酒窝🌸,6814519600000000080254d3,回复 谢思源运动康复 : 谢谢老师
125,22,主评论,满如其月,5,2025-04-07浙江,,67f31897000000001f02ac49,老师好帅，哈哈哈
126,22,回复,谢思源运动康复,1,2025-04-07北京,满如其月,67f32cfa000000001f00b527,哈哈，谢谢你那双懂得欣赏美的眼睛
127,22,回复,长安某,1,2025-04-11陕西,满如其月,67f909b4000000001e00c7ac,还很亲善的样子
128,23,主评论,R7kuuuk,2,2025-04-28广东,,680f78170000000012008319,去吧！去我文件夹里面吃灰吧！！！
129,23,回复,谢思源运动康复,0,2025-04-30北京,R7kuuuk,68115b010000000012002233,“放我出来”
130,24,主评论,蓝羽毛,2,2025-05-02广东,,68148f5b000000000401cd0e,我感觉肱骨前移多半是由于玩手机和电脑太多
131,24,回复,谢思源运动康复,1,2025-05-02北京,蓝羽毛,6814bf81000000000b02c6e5,有道理
132,25,主评论,巴拉拉哇咔咔,1,2025-04-19广东,,6802972f0000000012012ebe,我挺腰站直就不前移了 就是弯腰驼背习惯造成的
133,25,回复,谢思源运动康复,0,2025-04-19上海,巴拉拉哇咔咔,6802e42a000000001200abfc,习惯很重要
134,26,主评论,睡了吗,1,2025-06-10山东,,6847889f000000001c01f4de,那躺着做可以吗
135,26,回复,谢思源运动康复,0,2025-06-11北京,睡了吗,68493c1b0000000007029f7b,躺着效果不还
136,27,主评论,？？？,0,2025-04-07辽宁,,67f321a5000000001e0115db,真的有用吗
137,27,回复,谢思源运动康复,0,2025-04-07北京,？？？,67f32d390000000012009845,这几个动作，是的。
138,28,主评论,小红薯620F6324,0,2025-04-26四川,,680c3adc000000000400815f,可以站着做吗
139,28,回复,谢思源运动康复,0,2025-04-30北京,小红薯620F6324,68115b850000000012021e16,可以
140,29,主评论,王山尔瑞,0,2025-04-23浙江,,6808f45c000000001f01847c,疼痛时可以练吗
141,29,回复,谢思源运动康复,0,2025-04-24北京,王山尔瑞,680969ac0000000012012b8c,不能了，疼痛是禁忌
142,30,主评论,不劳而霍同学,0,2025-04-17江苏,,67ffdbde000000001f019ae0,这相当于是训练外旋肌改善内旋肌的牵拉
143,30,回复,谢思源运动康复,1,2025-04-24北京,不劳而霍同学,68096b32000000001f0057ba,主要是训练关节中心化上的协调性，忘记训练单独肌肉，那是老理论
144,31,主评论,小红薯5D7BFA56,0,2025-04-25江苏,,680acf340000000012022b27,我就想有个医生把我的扣肩强行掰开
145,31,回复,谢思源运动康复,1,2025-04-25陕西,小红薯5D7BFA56,680af0ea000000001200b9bf,可不敢，这样会有更大大问题
146,32,主评论,生命在于静止,5,2025-08-10广东,,68987810000000002b0213ae,躺瑜伽垫做这个也是一样吧。看到很多都是说躺着做
147,32,回复,谢思源运动康复,0,2025-08-10北京,生命在于静止,6898ab1e000000002a02358e,可以哦
148,33,主评论,不做入赘女,1,2025-04-23广东,,68087b970000000004019afb,做这个动作斜方肌发酸怎么办
149,33,回复,谢思源运动康复,1,2025-04-24北京,不做入赘女,68096a0f000000001e03ea69,肩胛骨用力贴在墙面身体旋转30度，腹式呼吸不容易耸肩。
150,34,主评论,8090,0,2025-04-10宁夏,,67f727df0000000020012e51,这个躺着也可以的吧
151,34,回复,谢思源运动康复,1,2025-04-10北京,8090,67f72dfc000000001f004b7c,不，站着或者坐着哈
152,35,主评论,不知道叫啥名儿好,0,2025-07-30北京,,68896628000000002a00d2dc,双侧同时做可以吗？
153,35,回复,谢思源运动康复,0,2025-07-31马尔代夫,不知道叫啥名儿好,688aec53000000002b02fcbe,可以的
154,36,主评论,一吴鱼,0,2025-04-26湖北,,680cfcc3000000001f00a6f9,这个好，坐着就能练
155,36,回复,谢思源运动康复,0,2025-04-30北京,一吴鱼,68115b530000000012002972,需要一面墙
156,37,主评论,Lexia没有了大厂头衔,0,2025-08-05四川,,6891cad6000000002a005aef,关注了 我要跟练 久坐肩颈问题，还肩胛骨缝疼
157,37,回复,谢思源运动康复,0,2025-08-10北京,Lexia没有了大厂头衔,6898ac74000000002a023bff,加油
158,38,主评论,潘潘,1,2025-04-24江苏,,6809ff8a000000001301329a,肩关节咔咔响怎么回事？
159,38,回复,谢思源运动康复,0,2025-04-24河南,潘潘,680a02d8000000001f00bf2b,如果不疼就不用
160,39,主评论,ㄣs1续いw,0,2025-04-25四川,,680b93ee000000001201068e,骨性富贵包怎么练
161,39,回复,谢思源运动康复,1,2025-04-30北京,ㄣs1续いw,6811622a00000000120084c7,骨性，那不是富贵包，x光如果看出来那就好骨质增生
162,40,主评论,爱运动的棵棵,0,2025-04-27四川,,680e4676000000001f0189d3,肱骨前移还肋骨外翻
163,40,回复,谢思源运动康复,0,2025-04-30北京,爱运动的棵棵,68115b0e000000001f00b8c2,两个问题，都需要特殊训练
