companyName,sourceType,sourceUrl,capturedAt,evidenceSummary,evidenceStrength
Curable,reachability_evidence,https://www.curable.com/,2026-05-19,未找到明确 worldwide/global remote 证据。,limited_or_unknown_reachability
RecoveryPlus.health,product_evidence,https://www.recoveryplus.health/about/,2026-05-19,公司介绍其虚拟慢病管理、心脏/肺康复和远程患者支持服务。,strong_product_or_company_site
RecoveryPlus.health,reachability_evidence,https://www.recoveryplus.health/about/,2026-05-19,未找到严格 worldwide/global remote 证据；只能进入 target pool 或 unknown watchlist。,limited_or_unknown_reachability
华佗大数据健康（杭州）有限公司,product_evidence,https://jobs.niuqizp.com/job-vms55CzZC.html,2026-05-19,公开招聘公告称其为医疗数据+AI全栈应用解决方案提供方，旗下云上华佗是人工智能数字健康科技平台。,strong_product_or_company_site
华佗大数据健康（杭州）有限公司,reachability_evidence,https://jobs.niuqizp.com/job-vms55CzZC.html,2026-05-19,杭州公司且公开招聘 AI Agent 方向，适合主动联系。,strong_reachability
华大生命科学研究院 / BGI,product_evidence,https://www.lipind.com/position/detail/963421,2026-05-19,公开岗位要求把组学分析流程转成自然语言交互体验，技术栈含 LangChain / LlamaIndex。,strong_product_or_company_site
华大生命科学研究院 / BGI,reachability_evidence,https://www.genomics.cn/,2026-05-19,深圳/杭州生态可触达。,strong_reachability
Lark Health,product_evidence,https://www.lark.com/,2026-05-19,AI-powered chronic disease prevention and management coaching.,strong_product_or_company_site
Lark Health,reachability_evidence,https://www.lark.com/careers,2026-05-19,未找到明确 global remote 证据。,limited_or_unknown_reachability
Omada Health,product_evidence,https://www.omadahealth.com/,2026-05-19,虚拟慢病管理平台，覆盖 diabetes、hypertension、musculoskeletal 等慢病项目。,strong_product_or_company_site
Omada Health,reachability_evidence,https://job-boards.greenhouse.io/omadahealth,2026-05-19,"公开职位远程地点为 Remote, USA 等，不满足 global remote。",limited_or_unknown_reachability
Virta Health,product_evidence,https://www.virtahealth.com/,2026-05-19,面向 2 型糖尿病和肥胖的虚拟代谢健康 care。,strong_product_or_company_site
Virta Health,reachability_evidence,https://www.virtahealth.com/careers,2026-05-19,公开招聘以美国远程/美国岗位为主，不满足 global remote。,limited_or_unknown_reachability
Kaia Health,product_evidence,https://kaiahealth.com/,2026-05-19,数字 MSK 平台，提供运动治疗、教育和行为支持。,strong_product_or_company_site
Kaia Health,reachability_evidence,https://kaiahealth.com/careers/,2026-05-19,未找到明确 worldwide/global remote 证据。,limited_or_unknown_reachability
Lin Health,product_evidence,https://www.lin.health/,2026-05-19,面向慢性疼痛的虚拟 care 和 coaching。,strong_product_or_company_site
Lin Health,reachability_evidence,https://www.lin.health/careers,2026-05-19,公开岗位/团队入口未证明 worldwide remote，按 restricted/unknown 处理。,limited_or_unknown_reachability
阿里健康,product_evidence,https://www.alihealth.cn/,2026-05-19,阿里健康提供医药健康和互联网医疗服务，并有医疗大模型/智能问答岗位线索。,strong_product_or_company_site
阿里健康,reachability_evidence,https://www.alihealth.cn/,2026-05-19,杭州/中国业务明确。,strong_reachability
Glooko,product_evidence,https://glooko.com/,2026-05-19,糖尿病数据管理、远程监测和患者/临床团队工具。,strong_product_or_company_site
Glooko,reachability_evidence,https://glooko.com/careers/,2026-05-19,未找到明确 worldwide/global remote 证据。,limited_or_unknown_reachability
Welldoc,product_evidence,https://www.welldoc.com/,2026-05-19,糖尿病数字疗法和心代谢数字健康产品。,strong_product_or_company_site
Welldoc,reachability_evidence,https://www.welldoc.com/careers/,2026-05-19,未找到明确 global remote 证据。,limited_or_unknown_reachability
医渡科技,product_evidence,https://www.yidutechgroup.com/,2026-05-19,医疗数据智能和 AI 平台公司，服务临床研究和医疗健康场景。,strong_product_or_company_site
医渡科技,reachability_evidence,https://www.yidutechgroup.com/,2026-05-19,中国公司/公开上市主体可触达。,strong_reachability
方舟健客,product_evidence,https://www.jianke.com/,2026-05-19,互联网医疗和医药电商平台，Stage 2 已标记慢病管理与药房电商。,strong_product_or_company_site
方舟健客,reachability_evidence,https://www.jianke.com/,2026-05-19,广州公司/中国业务明确。,strong_reachability
上海鹰瞳医疗科技有限公司,product_evidence,https://www.airdoc.com/,2026-05-19,AI 视网膜影像筛查，覆盖糖尿病视网膜病变和慢病风险相关场景。,strong_product_or_company_site
上海鹰瞳医疗科技有限公司,reachability_evidence,https://www.airdoc.com/,2026-05-19,上海公司/中国市场明确。,strong_reachability
Biofourmis,product_evidence,https://www.biofourmis.com/,2026-05-19,AI驱动远程患者监测和虚拟护理平台。,strong_product_or_company_site
Biofourmis,reachability_evidence,https://www.biofourmis.com/careers/,2026-05-19,未找到明确 global remote 证据。,limited_or_unknown_reachability
MoreGoodDays,product_evidence,https://www.moregooddays.com/,2026-05-19,慢性疼痛数字项目，结合疼痛教育、心理和行为干预。,strong_product_or_company_site
MoreGoodDays,reachability_evidence,https://www.moregooddays.com/,2026-05-19,未找到明确 global remote 工作政策。,limited_or_unknown_reachability
Noom,product_evidence,https://www.noom.com/,2026-05-19,体重管理和行为改变数字健康产品。,strong_product_or_company_site
Noom,reachability_evidence,https://www.noom.com/careers/,2026-05-19,公开岗位多按国家/地区招聘，未确认 global remote。,limited_or_unknown_reachability
平安健康,product_evidence,https://www.pagd.net/,2026-05-19,互联网医疗和健康服务平台。,strong_product_or_company_site
平安健康,reachability_evidence,https://www.pagd.net/,2026-05-19,上海/中国业务明确。,strong_reachability
京东健康,product_evidence,https://www.jdh.com/,2026-05-19,京东健康提供在线医疗、医药健康商品和健康服务。,strong_product_or_company_site
京东健康,reachability_evidence,https://www.jdh.com/,2026-05-19,北京/中国业务明确。,strong_reachability
Carepatron,product_evidence,https://www.carepatron.com/,2026-05-19,医疗实践管理、远程医疗、患者管理和工作流平台。,strong_product_or_company_site
Carepatron,reachability_evidence,https://www.carepatron.com/careers,2026-05-19,careers 页面强调 global team / remote work 文化。,strong_reachability
Wysa,product_evidence,https://www.wysa.com/,2026-05-19,AI mental health support and coaching product.,strong_product_or_company_site
Wysa,reachability_evidence,https://www.wysa.com/careers,2026-05-19,未找到严格 global remote 证据。,limited_or_unknown_reachability
Big Health,product_evidence,https://www.bighealth.com/,2026-05-19,数字疗法产品覆盖 sleep 和 mental health。,strong_product_or_company_site
Big Health,reachability_evidence,https://www.bighealth.com/careers/,2026-05-19,公开岗位通常受 US/UK 等地区限制，未找到 global remote 证据。,limited_or_unknown_reachability
微医,product_evidence,https://www.guahao.com/,2026-05-19,互联网医院和在线医疗服务平台。,strong_product_or_company_site
微医,reachability_evidence,https://www.guahao.com/,2026-05-19,杭州/中国业务明确。,strong_reachability
Newpage,product_evidence,https://newpage.io/,2026-05-19,数字健康产品开发与技术服务公司，服务医疗健康产品建设。,strong_product_or_company_site
Newpage,reachability_evidence,https://newpage.io/careers/,2026-05-19,careers 页面称 global team、100% remote。,strong_reachability
北京康恒医疗科技有限公司,product_evidence,https://www.kanghengmed.com/,2026-05-19,慢病管理和医疗软件相关业务线索，需后续核验具体产品成熟度。,strong_product_or_company_site
北京康恒医疗科技有限公司,reachability_evidence,https://www.kanghengmed.com/,2026-05-19,北京公司/中国业务可触达。,strong_reachability
远心医疗,product_evidence,https://udi.nmpa.gov.cn/,2026-05-19,Stage 2 显示为 remote_patient_monitoring / samd 候选。,strong_product_or_company_site
远心医疗,reachability_evidence,https://udi.nmpa.gov.cn/,2026-05-19,上海注册主体可触达。,strong_reachability
丁香园,product_evidence,https://www.dxy.cn/,2026-05-19,医学专业社区和健康服务平台。,strong_product_or_company_site
丁香园,reachability_evidence,https://www.dxy.cn/,2026-05-19,杭州/中国业务明确。,strong_reachability
好大夫在线,product_evidence,https://www.haodf.com/,2026-05-19,在线问诊和医生患者服务平台。,strong_product_or_company_site
好大夫在线,reachability_evidence,https://www.haodf.com/,2026-05-19,北京/中国业务明确。,strong_reachability
Headspace Health,product_evidence,https://www.headspace.com/,2026-05-19,心理健康、冥想和睡眠平台。,strong_product_or_company_site
Headspace Health,reachability_evidence,https://job-boards.greenhouse.io/hs,2026-05-19,公开远程岗位多为 United States，不满足 global remote。,limited_or_unknown_reachability
圆心科技,product_evidence,https://www.yuanxin.com/,2026-05-19,医疗健康服务与药房/患者服务平台。,strong_product_or_company_site
圆心科技,reachability_evidence,https://www.yuanxin.com/,2026-05-19,北京/中国业务明确。,strong_reachability
成都云卫康医疗科技有限公司,product_evidence,https://udi.nmpa.gov.cn/,2026-05-19,Stage 2 NMPA/UDI 证据显示其为睡眠/远程监测相关医疗软件候选。,strong_product_or_company_site
成都云卫康医疗科技有限公司,reachability_evidence,https://udi.nmpa.gov.cn/,2026-05-19,注册主体在成都，适合本地进一步核验和联系。,strong_reachability
妙手医生,product_evidence,https://www.miaoshou.com/,2026-05-19,在线医疗和医药健康服务平台，Stage 2 标记为在线问诊和药房电商相关。,strong_product_or_company_site
妙手医生,reachability_evidence,https://www.miaoshou.com/,2026-05-19,北京/中国业务明确。,strong_reachability
思派健康,product_evidence,https://www.medbanks.cn/,2026-05-19,患者服务和特药/健康管理相关平台，Stage 2 标记为患者互动和药房电商。,strong_product_or_company_site
思派健康,reachability_evidence,https://www.medbanks.cn/,2026-05-19,北京/中国业务明确。,strong_reachability
春雨医生,product_evidence,https://www.chunyuyisheng.com/,2026-05-19,在线问诊和健康咨询平台。,strong_product_or_company_site
春雨医生,reachability_evidence,https://www.chunyuyisheng.com/,2026-05-19,北京/中国业务明确。,strong_reachability
叮当快药,product_evidence,https://www.ddky.com/,2026-05-19,医药健康到家服务平台，适合长期用药和慢病患者运营场景。,strong_product_or_company_site
叮当快药,reachability_evidence,https://www.ddky.com/,2026-05-19,北京/中国业务明确。,strong_reachability
江西思维智光医疗科技有限公司,product_evidence,https://udi.nmpa.gov.cn/,2026-05-19,Stage 2 显示为 mental_health 相关 NMPA/UDI 候选。,strong_product_or_company_site
江西思维智光医疗科技有限公司,reachability_evidence,https://udi.nmpa.gov.cn/,2026-05-19,中国注册主体可触达，但城市需进一步核验。,strong_reachability
健康160,product_evidence,https://www.91160.com/,2026-05-19,预约挂号和互联网医疗服务平台，具备患者入口和复诊服务场景。,strong_product_or_company_site
健康160,reachability_evidence,https://www.91160.com/,2026-05-19,深圳/中国业务明确。,strong_reachability
天津致远慧图科技有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697549021014420230320104547712,2026-05-19,Stage 2 categories: chronic_disease_management; rehabilitation; remote_patient_monitoring; samd,medium_stage2_evidence
天津致远慧图科技有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697549021014420230320104547712,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
腾讯医疗健康（深圳）有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697541034009820250217120028629,2026-05-19,Stage 2 categories: clinical_workflow; mental_health; samd,medium_stage2_evidence
腾讯医疗健康（深圳）有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697541034009820250217120028629,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
英国雅培糖尿病护理公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0502179100284920241010051926155,2026-05-19,Stage 2 categories: chronic_disease_management; remote_patient_monitoring,medium_stage2_evidence
英国雅培糖尿病护理公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0502179100284920241010051926155,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
云智康医疗科技（内蒙古）有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=13ff18ac57eb4e89a3dee8cc6d094806,2026-05-19,Stage 2 categories: remote_patient_monitoring; sleep_health,medium_stage2_evidence
云智康医疗科技（内蒙古）有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=13ff18ac57eb4e89a3dee8cc6d094806,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
伯乐实验有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=036105223607342025092803570325,2026-05-19,Stage 2 categories: chronic_disease_management; remote_patient_monitoring,medium_stage2_evidence
伯乐实验有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=036105223607342025092803570325,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
北京新兴阳升科技有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697568534000720230304082002422,2026-05-19,Stage 2 categories: remote_patient_monitoring; sleep_health,medium_stage2_evidence
北京新兴阳升科技有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697568534000720230304082002422,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
北京至真互联网技术有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697508757001920221110021746316,2026-05-19,Stage 2 categories: chronic_disease_management; clinical_workflow; samd,medium_stage2_evidence
北京至真互联网技术有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697508757001920221110021746316,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
北京致远慧图科技有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697516973001020220120030704594,2026-05-19,Stage 2 categories: chronic_disease_management; clinical_workflow; samd,medium_stage2_evidence
北京致远慧图科技有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697516973001020220120030704594,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
北京航天卡迪技术开发研究所,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0692066571720120251017011019242,2026-05-19,Stage 2 categories: remote_patient_monitoring; sleep_health,medium_stage2_evidence
北京航天卡迪技术开发研究所,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0692066571720120251017011019242,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
思澜科技（成都）有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=4425365e8e2f450280940b64ac1c59dc,2026-05-19,Stage 2 categories: remote_patient_monitoring; sleep_health,medium_stage2_evidence
思澜科技（成都）有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=4425365e8e2f450280940b64ac1c59dc,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
河南华南医电科技有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697456412010520230131012921496,2026-05-19,Stage 2 categories: remote_patient_monitoring; sleep_health,medium_stage2_evidence
河南华南医电科技有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697456412010520230131012921496,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
苏州体素信息科技有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697517062001020221026035231561,2026-05-19,Stage 2 categories: chronic_disease_management; clinical_workflow; samd,medium_stage2_evidence
苏州体素信息科技有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697517062001020221026035231561,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
英国雅培糖尿病护理公司Abbott Diabetes Care Ltd.,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=00093815713579202205260441100,2026-05-19,Stage 2 categories: chronic_disease_management; remote_patient_monitoring,medium_stage2_evidence
英国雅培糖尿病护理公司Abbott Diabetes Care Ltd.,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=00093815713579202205260441100,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
上海镜影信息科技有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697755044001020260417012010264,2026-05-19,Stage 2 categories: clinical_workflow; remote_patient_monitoring; samd,medium_stage2_evidence
上海镜影信息科技有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697755044001020260417012010264,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
北京品驰医疗设备股份有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0695980960560920250409110149243,2026-05-19,Stage 2 categories: clinical_workflow; remote_patient_monitoring; samd,medium_stage2_evidence
北京品驰医疗设备股份有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0695980960560920250409110149243,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
华思（天津）医疗健康管理有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697452953104520250828052918072,2026-05-19,Stage 2 categories: health_management_platform; remote_patient_monitoring; samd,medium_stage2_evidence
华思（天津）医疗健康管理有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697452953104520250828052918072,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
山东正心医疗科技有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697246767051220240530041724743,2026-05-19,Stage 2 categories: clinical_workflow; remote_patient_monitoring,medium_stage2_evidence
山东正心医疗科技有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697246767051220240530041724743,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
武汉兰丁智能医学股份有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=06975866142710202507090242481,2026-05-19,Stage 2 categories: clinical_workflow; remote_patient_monitoring; samd,medium_stage2_evidence
武汉兰丁智能医学股份有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=06975866142710202507090242481,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
深圳市保身欣科技电子有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0692048530807820260512095841386,2026-05-19,Stage 2 categories: remote_patient_monitoring,medium_stage2_evidence
深圳市保身欣科技电子有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0692048530807820260512095841386,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
深圳市埃微医疗信息技术有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697996622005720260407052252779,2026-05-19,Stage 2 categories: clinical_workflow; remote_patient_monitoring; samd,medium_stage2_evidence
深圳市埃微医疗信息技术有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697996622005720260407052252779,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
深圳市安普康科技有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0694672552335320260512092607521,2026-05-19,Stage 2 categories: remote_patient_monitoring,medium_stage2_evidence
深圳市安普康科技有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0694672552335320260512092607521,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
深圳市理邦精密仪器股份有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=069444138319332023122702190811,2026-05-19,Stage 2 categories: clinical_workflow; remote_patient_monitoring; samd,medium_stage2_evidence
深圳市理邦精密仪器股份有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=069444138319332023122702190811,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
纳龙健康科技股份有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697614113017020260424042209895,2026-05-19,Stage 2 categories: remote_patient_monitoring; samd,medium_stage2_evidence
纳龙健康科技股份有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697614113017020260424042209895,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
长沙爱孕记医疗科技有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=273c8003f6164690916f8a3fdc31996c,2026-05-19,Stage 2 categories: remote_patient_monitoring; samd,medium_stage2_evidence
长沙爱孕记医疗科技有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=273c8003f6164690916f8a3fdc31996c,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
青岛远程科技有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697510300027820231010040328484,2026-05-19,Stage 2 categories: remote_patient_monitoring,medium_stage2_evidence
青岛远程科技有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697510300027820231010040328484,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
"Abbott Diabetes Care, Inc.",product_evidence,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K060768,2026-05-19,Stage 2 categories: chronic_disease_management; remote_patient_monitoring,medium_stage2_evidence
"Abbott Diabetes Care, Inc.",reachability_evidence,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K060768,2026-05-19,未确认全球远程。,limited_or_unknown_reachability
Livongo,product_evidence,https://www.teladochealth.com/livongo,2026-05-19,Stage 2 categories: chronic_disease_management; internet_healthcare; remote_patient_monitoring,medium_stage2_evidence
Livongo,reachability_evidence,https://www.teladochealth.com/livongo,2026-05-19,未确认全球远程。,limited_or_unknown_reachability
"Teladoc Health, Inc.",product_evidence,https://www.sec.gov/edgar/browse/?CIK=1477449,2026-05-19,Stage 2 categories: chronic_disease_management; internet_healthcare; mental_health; remote_patient_monitoring,medium_stage2_evidence
"Teladoc Health, Inc.",reachability_evidence,https://www.teladochealth.com/,2026-05-19,未确认全球远程。,limited_or_unknown_reachability
中山瑞福医疗器械科技有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=ca378ffe533249bca57eb24c4317f7e3,2026-05-19,Stage 2 categories: chronic_disease_management,medium_stage2_evidence
中山瑞福医疗器械科技有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=ca378ffe533249bca57eb24c4317f7e3,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
内特斯医疗系统DBA艾泰克有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=00382830027298202208310434215,2026-05-19,Stage 2 categories: sleep_health,medium_stage2_evidence
内特斯医疗系统DBA艾泰克有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=00382830027298202208310434215,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
天津怡和嘉业医疗科技有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=5D6A46D9CFDD2650AD9CA4CBBD7F6D20,2026-05-19,Stage 2 categories: sleep_health,medium_stage2_evidence
天津怡和嘉业医疗科技有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=5D6A46D9CFDD2650AD9CA4CBBD7F6D20,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
武汉市九头鸟医疗仪器开发有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697548329202720260418110923009,2026-05-19,Stage 2 categories: rehabilitation,medium_stage2_evidence
武汉市九头鸟医疗仪器开发有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697548329202720260418110923009,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
深圳京柏医疗科技股份有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0695174055061120260430020307433,2026-05-19,Stage 2 categories: rehabilitation,medium_stage2_evidence
深圳京柏医疗科技股份有限公司,reachability_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0695174055061120260430020307433,2026-05-19,Stage 2 显示中国主体或中国城市。,strong_reachability
深圳市亚辉龙生物科技股份有限公司,product_evidence,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=1f59cb8b-b489-41ac-8ddf-c5f2d5198b24,2026-05-19,Stage 2 categories: chronic_disease_management,medium_stage2_evidence
