companyName,aliases,city,categories,opportunityScore,website,watchReason
苏州体素信息科技有限公司,,,chronic_disease_management; clinical_workflow; samd,56,,no_active_ai_job_verified_in_public_china_pass
合肥合滨智能机器人有限公司,,,clinical_workflow; remote_patient_monitoring,54,,no_active_ai_job_verified_in_public_china_pass
春雨医生,Chunyu Doctor,北京,clinical_workflow; online_consultation,52,https://www.chunyuyisheng.com/,公开搜索未核验到 active AI/LLM/算法岗位。
丁香园,DXY,杭州,clinical_workflow; health_management_platform; patient_engagement,51,https://www.dxy.cn/,no_active_ai_job_verified_in_public_china_pass
广州安必平医药科技股份有限公司,,广州,clinical_workflow; samd,51,,no_active_ai_job_verified_in_public_china_pass
广西医准智能科技有限公司,,,clinical_workflow; samd,51,,no_active_ai_job_verified_in_public_china_pass
深圳市保身欣科技电子有限公司,,深圳,remote_patient_monitoring,49,,no_active_ai_job_verified_in_public_china_pass
上海远心医疗科技有限公司,,上海,remote_patient_monitoring; samd,48,,no_active_ai_job_verified_in_public_china_pass
北京新网医讯技术有限公司,,北京,remote_patient_monitoring; samd,48,,no_active_ai_job_verified_in_public_china_pass
海南齐佳智能科技有限公司,,,mental_health; rehabilitation; samd,48,,no_active_ai_job_verified_in_public_china_pass
北京锐视康科技发展有限公司,,北京,remote_patient_monitoring; samd,47,,no_active_ai_job_verified_in_public_china_pass
微脉,Weimai,杭州,health_management_platform; internet_healthcare; patient_engagement,47,https://www.myweimai.com/,no_active_ai_job_verified_in_public_china_pass
伯乐实验有限公司,,,chronic_disease_management; remote_patient_monitoring,46,,no_active_ai_job_verified_in_public_china_pass
安徽爱视睿医疗科技有限公司,,,clinical_workflow,46,,no_active_ai_job_verified_in_public_china_pass
英国雅培糖尿病护理公司Abbott Diabetes Care Ltd.,,,chronic_disease_management; remote_patient_monitoring,46,,no_active_ai_job_verified_in_public_china_pass
深圳市安普康科技有限公司,,深圳,remote_patient_monitoring,45,,no_active_ai_job_verified_in_public_china_pass
健客,健客网; Jianke,广州,internet_healthcare; pharmacy_ecommerce,44,https://www.jianke.com/,no_active_ai_job_verified_in_public_china_pass
叮当快药,叮当健康,北京,internet_healthcare; pharmacy_ecommerce,44,https://www.ddky.com/,no_active_ai_job_verified_in_public_china_pass
好大夫在线,Haodf,北京,online_consultation; samd,44,https://www.haodf.com/,no_active_ai_job_verified_in_public_china_pass
深圳市绘云生物科技有限公司,,深圳,clinical_workflow; samd,44,,no_active_ai_job_verified_in_public_china_pass
健康160,就医160,深圳,internet_healthcare; samd,43,https://www.91160.com/,公开搜索未核验到 active AI/LLM/算法岗位。
苏州塞伯坦医疗科技有限公司,,,clinical_workflow; samd,43,,no_active_ai_job_verified_in_public_china_pass
青岛远程科技有限公司,,,remote_patient_monitoring,43,,no_active_ai_job_verified_in_public_china_pass
麦康迪（绍兴）科技有限公司,,,clinical_workflow; samd,43,,no_active_ai_job_verified_in_public_china_pass
武汉康录生物技术股份有限公司,,,clinical_workflow,41,,no_active_ai_job_verified_in_public_china_pass
江西思维智光医疗科技有限公司,,,mental_health,41,,no_active_ai_job_verified_in_public_china_pass
瑞海胜（厦门）康复用品有限公司,,,rehabilitation,41,,no_active_ai_job_verified_in_public_china_pass
中山瑞福医疗器械科技有限公司,,,chronic_disease_management,40,,no_active_ai_job_verified_in_public_china_pass
思澜科技（成都）有限公司,,成都,remote_patient_monitoring; sleep_health,40,,no_active_ai_job_verified_in_public_china_pass
亳州融健医疗用品有限公司,,,rehabilitation; samd,39,,no_active_ai_job_verified_in_public_china_pass
微医,WeDoctor; 挂号网,杭州,internet_healthcare,39,https://www.guahao.com/,公开搜索未核验到 active AI/LLM/算法岗位。
思派健康,Medbanks; 思派网络,北京,health_management_platform; patient_engagement; pharmacy_ecommerce,39,https://www.medbanks.cn/,公开搜索未核验到 active AI/LLM/算法岗位。
成都尚医信息科技有限公司,尚医科技; R Plus Health; 术康,成都,rehabilitation; samd,39,,公开搜索未核验到 active AI/LLM/算法岗位。
深圳市亚辉龙生物科技股份有限公司,,深圳,chronic_disease_management,39,,no_active_ai_job_verified_in_public_china_pass
深圳市伯劳特生物制品有限公司,,深圳,chronic_disease_management,39,,no_active_ai_job_verified_in_public_china_pass
美敦力糖尿病科技（成都）有限公司,,成都,chronic_disease_management,39,,no_active_ai_job_verified_in_public_china_pass
北京新兴阳升科技有限公司,,北京,remote_patient_monitoring; sleep_health,38,,no_active_ai_job_verified_in_public_china_pass
北京航天卡迪技术开发研究所,,北京,remote_patient_monitoring; sleep_health,38,,no_active_ai_job_verified_in_public_china_pass
深圳京柏医疗科技股份有限公司,,深圳,rehabilitation,38,,no_active_ai_job_verified_in_public_china_pass
深圳市宝润科技有限公司,,深圳,samd,38,,no_active_ai_job_verified_in_public_china_pass
云智康医疗科技（内蒙古）有限公司,,,remote_patient_monitoring; sleep_health,37,,no_active_ai_job_verified_in_public_china_pass
广州视景医疗软件有限公司,,广州,digital_therapeutics; samd,37,,no_active_ai_job_verified_in_public_china_pass
河南华南医电科技有限公司,,,remote_patient_monitoring; sleep_health,37,,no_active_ai_job_verified_in_public_china_pass
深圳麦科田生物医疗技术股份有限公司,,深圳,samd,36,,no_active_ai_job_verified_in_public_china_pass
湖南朗开医疗科技有限公司,,,remote_patient_monitoring,36,,no_active_ai_job_verified_in_public_china_pass
武汉市九头鸟医疗仪器开发有限公司,,,rehabilitation,35,,no_active_ai_job_verified_in_public_china_pass
济民健康管理股份有限公司,,,health_management_platform,35,,no_active_ai_job_verified_in_public_china_pass
上海微创医疗机器人（集团）股份有限公司,,上海,remote_patient_monitoring,34,,no_active_ai_job_verified_in_public_china_pass
南京普爱医疗设备股份有限公司,,,clinical_workflow,34,,no_active_ai_job_verified_in_public_china_pass
圆心科技,Yuanxin Technology; 圆心医疗,北京,health_management_platform; patient_engagement; pharmacy_ecommerce,34,https://www.yuanxin.com/,公开搜索未核验到 active AI/LLM/算法岗位。
安健科技（重庆）有限公司,,,clinical_workflow,34,,no_active_ai_job_verified_in_public_china_pass
深圳市资福医疗技术有限公司,,深圳,samd,34,,no_active_ai_job_verified_in_public_china_pass
维斯安（北京）医疗器械有限公司,,北京,remote_patient_monitoring,34,,no_active_ai_job_verified_in_public_china_pass
