companyName,aliases,region,country,city,categories,tier,website,primaryEvidenceUrl,productCount,evidenceCount,aiUseCases,aiFitScore,marketExpansionScore,financingLiftScore,commercializationScore,dataReadinessScore,evidenceQualityScore,opportunityScore,scoreReasons,gaps
北京品驰医疗设备股份有限公司,,China,CN,北京,clinical_workflow; remote_patient_monitoring; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0695980960560920250409110149243,3,6,远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化,29,10,9,2,8,10,68,远程监测适合风险分层和异常预警; 临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
深圳市埃微医疗信息技术有限公司,,China,CN,深圳,clinical_workflow; remote_patient_monitoring; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697996622005720260407052252779,6,12,远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化,25,12,9,3,8,10,67,远程监测适合风险分层和异常预警; 临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
上海镜影信息科技有限公司,,China,CN,上海,clinical_workflow; remote_patient_monitoring; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697755044001020260417012010264,2,4,远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化,28,10,9,1,8,10,66,远程监测适合风险分层和异常预警; 临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
华思（天津）医疗健康管理有限公司,,China,CN,,health_management_platform; remote_patient_monitoring; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697452953104520250828052918072,19,19,远程监测风险分层与异常预警,22,13,12,3,6,9,65,远程监测适合风险分层和异常预警; 有监管/官方目录证据,website; financing; company_site_evidence
景昱医疗科技（苏州）股份有限公司,,China,CN,,clinical_workflow; online_consultation; remote_patient_monitoring; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697037781066020250718070235628,1,2,远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,30,9,9,0,10,7,65,远程监测适合风险分层和异常预警; 临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
北京至真互联网技术有限公司,,China,CN,北京,chronic_disease_management; clinical_workflow; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697508757001920221110021746316,1,2,慢病管理 AI 教练与个性化随访; 医生工作流、病历摘要和临床文档自动化,25,14,12,0,5,8,64,慢病管理具备个性化随访和 AI 教练空间; 临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
成都云卫康医疗科技有限公司,,China,CN,成都,remote_patient_monitoring; samd; sleep_health,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=MA.156.M0.101195.0YWK0033202403220556523,6,6,远程监测风险分层与异常预警; 心理/睡眠分层干预与对话式支持,27,7,12,2,6,10,64,远程监测适合风险分层和异常预警; 有监管/官方目录证据,website; financing; company_site_evidence
深圳星康医疗科技有限公司,,China,CN,深圳,clinical_workflow; remote_patient_monitoring; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697521590151720260512042339217,1,2,远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化,27,9,12,0,8,8,64,远程监测适合风险分层和异常预警; 临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
"Abbott Diabetes Care, Inc.",Abbott Diabetes Care,US,US,Alameda,chronic_disease_management; remote_patient_monitoring,A,,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K060768,10,10,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访,23,13,8,3,6,10,63,远程监测适合风险分层和异常预警; 慢病管理具备个性化随访和 AI 教练空间; 有监管/官方目录证据,website; financing; company_site_evidence
腾讯医疗健康（深圳）有限公司,,China,CN,深圳,clinical_workflow; mental_health; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697541034009820250217120028629,3,5,心理/睡眠分层干预与对话式支持; 医生工作流、病历摘要和临床文档自动化,26,9,12,1,5,10,63,临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
英国雅培糖尿病护理公司,,China,CN,,chronic_disease_management; remote_patient_monitoring,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0502179100284920241010051926155,13,13,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访,23,14,8,3,6,9,63,远程监测适合风险分层和异常预警; 慢病管理具备个性化随访和 AI 教练空间; 有监管/官方目录证据,website; financing; company_site_evidence
"ACON Laboratories, Inc.",,US,US,San Diego,chronic_disease_management; remote_patient_monitoring; samd,A,,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K101371,1,1,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访,25,11,12,0,6,7,61,远程监测适合风险分层和异常预警; 慢病管理具备个性化随访和 AI 教练空间; 有监管/官方目录证据,website; financing; company_site_evidence
"Agamatrix, Inc.",,US,US,Salem,chronic_disease_management; remote_patient_monitoring; samd,A,,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K103544,1,1,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访,25,11,12,0,6,7,61,远程监测适合风险分层和异常预警; 慢病管理具备个性化随访和 AI 教练空间; 有监管/官方目录证据,website; financing; company_site_evidence
纳龙健康科技股份有限公司,,China,CN,,remote_patient_monitoring; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697614113017020260424042209895,6,12,远程监测风险分层与异常预警,22,9,12,3,6,9,61,远程监测适合风险分层和异常预警; 有监管/官方目录证据,website; financing; company_site_evidence
Biofourmis,,US,US,Boston,digital_therapeutics; internet_healthcare; remote_patient_monitoring,B,https://www.biofourmis.com/,https://www.biofourmis.com/,2,2,远程监测风险分层与异常预警; 在线问诊分诊、问答和医患服务自动化,20,10,8,8,8,6,60,远程监测适合风险分层和异常预警; 互联网医疗平台有问诊分诊和服务自动化空间; 已有官网/产品页信号,financing
Glooko,,US,US,Palo Alto,chronic_disease_management; remote_patient_monitoring,B,https://glooko.com/,https://glooko.com/,1,2,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访,20,14,10,4,6,6,60,远程监测适合风险分层和异常预警; 慢病管理具备个性化随访和 AI 教练空间; 已有官网/产品页信号,financing; company_site_evidence
上海鹰瞳医疗科技有限公司,,China,CN,上海,chronic_disease_management; clinical_workflow; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697492288000920211219105757265,1,1,慢病管理 AI 教练与个性化随访; 医生工作流、病历摘要和临床文档自动化,25,8,15,0,5,7,60,慢病管理具备个性化随访和 AI 教练空间; 临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
山东正心医疗科技有限公司,,China,CN,,clinical_workflow; remote_patient_monitoring,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697246767051220240530041724743,12,24,远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化,20,12,8,3,8,9,60,远程监测适合风险分层和异常预警; 临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
深圳硅基智能科技有限公司,,China,CN,深圳,chronic_disease_management; clinical_workflow; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697524021000420220706052022106,1,1,慢病管理 AI 教练与个性化随访; 医生工作流、病历摘要和临床文档自动化,25,8,15,0,5,7,60,慢病管理具备个性化随访和 AI 教练空间; 临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
Amwell,American Well,US,US,Boston,internet_healthcare; remote_patient_monitoring,B,https://business.amwell.com/,https://business.amwell.com/,1,2,远程监测风险分层与异常预警; 在线问诊分诊、问答和医患服务自动化,19,13,7,6,8,6,59,远程监测适合风险分层和异常预警; 互联网医疗平台有问诊分诊和服务自动化空间; 已有官网/产品页信号,financing; company_site_evidence
"Hinge Health, Inc.",Hinge Health,US,US,San Francisco,internet_healthcare; rehabilitation,B,https://www.hingehealth.com/,https://www.sec.gov/edgar/browse/?CIK=1673743,1,3,康复计划生成、动作/依从性反馈与 care manager copilot; 在线问诊分诊、问答和医患服务自动化,16,18,6,7,5,7,59,康复产品可用 AI 降低人力交付成本; 互联网医疗平台有问诊分诊和服务自动化空间; 已有官网/产品页信号,financing; company_site_evidence
方舟健客,方舟云康; Jianke,China,CN,广州,chronic_disease_management; internet_healthcare; pharmacy_ecommerce,B,https://www.jianke.com/,https://www.jianke.com/,1,2,慢病管理 AI 教练与个性化随访; 在线问诊分诊、问答和医患服务自动化; 用药咨询、处方/复购推荐和药事服务自动化,20,17,6,4,5,6,58,慢病管理具备个性化随访和 AI 教练空间; 互联网医疗平台有问诊分诊和服务自动化空间; 已有官网/产品页信号,financing; company_site_evidence
Mindmaze SA,MindMaze,Europe,CH,Lausanne,digital_therapeutics; rehabilitation; samd,A,https://www.mindmaze.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K173931,4,4,康复计划生成、动作/依从性反馈与 care manager copilot,19,6,11,9,3,9,57,康复产品可用 AI 降低人力交付成本; 已有官网/产品页信号; 有监管/官方目录证据,financing
北京致远慧图科技有限公司,,China,CN,北京,chronic_disease_management; clinical_workflow; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697516973001020220120030704594,1,1,慢病管理 AI 教练与个性化随访; 医生工作流、病历摘要和临床文档自动化,25,8,12,0,5,7,57,慢病管理具备个性化随访和 AI 教练空间; 临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
妙手医生,妙手; Miaoshou Doctor,China,CN,北京,clinical_workflow; online_consultation; pharmacy_ecommerce,B,https://www.miaoshou.com/,https://www.miaoshou.com/,1,2,医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化; 用药咨询、处方/复购推荐和药事服务自动化,22,11,7,4,7,6,57,临床工作流可通过文档/决策辅助提效; 已有官网/产品页信号,financing; company_site_evidence
长沙爱孕记医疗科技有限公司,,China,CN,,remote_patient_monitoring; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=273c8003f6164690916f8a3fdc31996c,3,6,远程监测风险分层与异常预警,21,7,12,2,6,9,57,远程监测适合风险分层和异常预警; 有监管/官方目录证据,website; financing; company_site_evidence
Doctolib,,Europe,FR,Paris,online_consultation; remote_patient_monitoring,B,https://www.doctolib.fr/,https://connect.doctolib.com/about-doctolib,1,3,远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,19,6,7,9,8,7,56,远程监测适合风险分层和异常预警; 已有官网/产品页信号,financing
平安健康,平安好医生; Ping An Good Doctor,China,CN,上海,clinical_workflow; internet_healthcare,B,https://www.pagd.net/,https://www.pagd.net/,1,2,医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,19,13,7,4,7,6,56,临床工作流可通过文档/决策辅助提效; 互联网医疗平台有问诊分诊和服务自动化空间; 已有官网/产品页信号,financing; company_site_evidence
苏州体素信息科技有限公司,,China,CN,,chronic_disease_management; clinical_workflow; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697517062001020221026035231561,1,1,慢病管理 AI 教练与个性化随访; 医生工作流、病历摘要和临床文档自动化,25,8,12,0,5,6,56,慢病管理具备个性化随访和 AI 教练空间; 临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
"Corventis, Inc.",,US,US,San Jose,health_management_platform; patient_engagement; remote_patient_monitoring,A,,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K090696,2,2,远程监测风险分层与异常预警; 患者互动、留存和健康行为 nudging,21,10,8,0,8,8,55,远程监测适合风险分层和异常预警; 有监管/官方目录证据,website; financing; company_site_evidence
Voluntis Sa.,Voluntis; Aptar Digital Health; Theraxium,Europe,FR,Paris,chronic_disease_management; digital_therapeutics; samd,A,https://www.aptardigitalhealth.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K170669,3,3,慢病管理 AI 教练与个性化随访,19,5,11,9,3,8,55,慢病管理具备个性化随访和 AI 教练空间; 已有官网/产品页信号; 有监管/官方目录证据,financing
合肥合滨智能机器人有限公司,,China,CN,,clinical_workflow; remote_patient_monitoring,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697545144001620240327110556534,1,2,远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化,22,9,8,0,8,7,54,远程监测适合风险分层和异常预警; 临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
Headspace Health,Headspace; Ginger,US,US,Santa Monica,internet_healthcare; mental_health,B,https://organizations.headspace.com/,https://organizations.headspace.com/,1,3,心理/睡眠分层干预与对话式支持; 在线问诊分诊、问答和医患服务自动化,16,9,6,9,5,7,52,互联网医疗平台有问诊分诊和服务自动化空间; 已有官网/产品页信号,financing
春雨医生,Chunyu Doctor,China,CN,北京,clinical_workflow; online_consultation,B,https://www.chunyuyisheng.com/,https://www.chunyuyisheng.com/,1,2,医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,19,9,7,4,7,6,52,临床工作流可通过文档/决策辅助提效; 已有官网/产品页信号,financing; company_site_evidence
"Big Health, Inc.",Big Health; Sleepio; Daylight,US,US,San Francisco,digital_therapeutics; mental_health; sleep_health,A,https://www.bighealth.com/,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K233577,3,5,心理/睡眠分层干预与对话式支持,18,6,8,7,3,9,51,已有官网/产品页信号; 有监管/官方目录证据,financing; company_site_evidence
丁香园,DXY,China,CN,杭州,clinical_workflow; health_management_platform; patient_engagement,B,https://www.dxy.cn/,https://www.dxy.cn/,1,2,医生工作流、病历摘要和临床文档自动化; 患者互动、留存和健康行为 nudging,20,7,7,4,7,6,51,临床工作流可通过文档/决策辅助提效; 已有官网/产品页信号,financing; company_site_evidence
广州安必平医药科技股份有限公司,,China,CN,广州,clinical_workflow; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0694850093468220260509111140206,3,6,医生工作流、病历摘要和临床文档自动化,21,4,9,2,5,10,51,临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
广西医准智能科技有限公司,,China,CN,,clinical_workflow; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697549183016720260204040539443,2,4,医生工作流、病历摘要和临床文档自动化,20,4,12,1,5,9,51,临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
Ada Health,,Europe,DE,Berlin,health_management_platform; online_consultation; patient_engagement,B,https://ada.com/,https://ada.com/,1,2,医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化; 患者互动、留存和健康行为 nudging,17,13,3,4,7,6,50,已有官网/产品页信号,financing; company_site_evidence
mySugr,Roche mySugr,Europe,AT,Vienna,chronic_disease_management; samd,B,https://www.mysugr.com/,https://www.mysugr.com/,2,2,慢病管理 AI 教练与个性化随访,18,5,10,8,3,6,50,慢病管理具备个性化随访和 AI 教练空间; 已有官网/产品页信号,financing
Babylon Health,Babylon,Europe,GB,London,internet_healthcare; remote_patient_monitoring,C,https://www.babylonhealth.com/,https://www.babylonhealth.com/,1,1,远程监测风险分层与异常预警; 在线问诊分诊、问答和医患服务自动化,19,10,7,4,8,1,49,远程监测适合风险分层和异常预警; 互联网医疗平台有问诊分诊和服务自动化空间; 已有官网/产品页信号,financing; company_site_evidence
medrhythms,MedRhythms,US,US,Portland,digital_therapeutics; rehabilitation,B,https://www.medrhythms.com/,https://dtxalliance.org/members/medrhythms/,2,3,康复计划生成、动作/依从性反馈与 care manager copilot,17,5,7,11,3,6,49,康复产品可用 AI 降低人力交付成本; 已有官网/产品页信号,financing
Sword Health,,Europe,PT,Porto,internet_healthcare; rehabilitation,B,https://swordhealth.com/,https://swordhealth.com/,1,2,康复计划生成、动作/依从性反馈与 care manager copilot; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,16,12,6,4,5,6,49,康复产品可用 AI 降低人力交付成本; 互联网医疗平台有问诊分诊和服务自动化空间; 已有官网/产品页信号,financing; company_site_evidence
深圳市保身欣科技电子有限公司,,China,CN,深圳,remote_patient_monitoring,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0692048530807820260512095841386,4,4,远程监测风险分层与异常预警,17,7,8,1,6,10,49,远程监测适合风险分层和异常预警; 有监管/官方目录证据,website; financing; company_site_evidence
"Lifescan, Inc.",,US,US,West Chester,chronic_disease_management; samd,A,,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K120558,4,4,慢病管理 AI 教练与个性化随访,20,6,8,1,3,10,48,慢病管理具备个性化随访和 AI 教练空间; 有监管/官方目录证据,website; financing; company_site_evidence
上海远心医疗科技有限公司,,China,CN,上海,remote_patient_monitoring; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697830410015020251126054846763,1,2,远程监测风险分层与异常预警,19,6,9,0,6,8,48,远程监测适合风险分层和异常预警; 有监管/官方目录证据,website; financing; company_site_evidence
北京新网医讯技术有限公司,,China,CN,北京,remote_patient_monitoring; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=06975940490058202301090405080,1,2,远程监测风险分层与异常预警,19,6,9,0,6,8,48,远程监测适合风险分层和异常预警; 有监管/官方目录证据,website; financing; company_site_evidence
海南齐佳智能科技有限公司,,China,CN,,mental_health; rehabilitation; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=895bdefe706046a3bb310582ade31a21,2,2,康复计划生成、动作/依从性反馈与 care manager copilot; 心理/睡眠分层干预与对话式支持,22,5,11,0,3,7,48,康复产品可用 AI 降低人力交付成本; 有监管/官方目录证据,website; financing; company_site_evidence
"Murata Vios, Inc.",,US,US,Woodbury,remote_patient_monitoring; samd,A,,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K241728,1,1,远程监测风险分层与异常预警,19,6,9,0,6,7,47,远程监测适合风险分层和异常预警; 有监管/官方目录证据,website; financing; company_site_evidence
Tomtec Imaging Systems GmbH,,Europe,DE,Unterschleissheim,remote_patient_monitoring; samd,A,,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K090461,1,1,远程监测风险分层与异常预警,19,6,9,0,6,7,47,远程监测适合风险分层和异常预警; 有监管/官方目录证据,website; financing; company_site_evidence
Virta Health,,US,US,Denver,chronic_disease_management; internet_healthcare,B,https://www.virtahealth.com/,https://www.virtahealth.com/,1,2,慢病管理 AI 教练与个性化随访; 在线问诊分诊、问答和医患服务自动化,17,9,6,4,5,6,47,慢病管理具备个性化随访和 AI 教练空间; 互联网医疗平台有问诊分诊和服务自动化空间; 已有官网/产品页信号,financing; company_site_evidence
京东健康,JD Health,China,CN,北京,internet_healthcare; pharmacy_ecommerce,B,https://www.jdh.com/,https://www.jdh.com/,1,2,在线问诊分诊、问答和医患服务自动化; 用药咨询、处方/复购推荐和药事服务自动化,14,15,3,4,5,6,47,互联网医疗平台有问诊分诊和服务自动化空间; 已有官网/产品页信号,financing; company_site_evidence
北京锐视康科技发展有限公司,,China,CN,北京,remote_patient_monitoring; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697399055003620220429111501082,1,1,远程监测风险分层与异常预警,19,6,9,0,6,7,47,远程监测适合风险分层和异常预警; 有监管/官方目录证据,website; financing; company_site_evidence
微脉,Weimai,China,CN,杭州,health_management_platform; internet_healthcare; patient_engagement,B,https://www.myweimai.com/,https://www.myweimai.com/,1,2,在线问诊分诊、问答和医患服务自动化; 患者互动、留存和健康行为 nudging,17,10,3,4,7,6,47,互联网医疗平台有问诊分诊和服务自动化空间; 已有官网/产品页信号,financing; company_site_evidence
阿里健康,Alibaba Health,China,CN,杭州,internet_healthcare; pharmacy_ecommerce,B,https://www.alihealth.cn/,https://www.alihealth.cn/,1,2,在线问诊分诊、问答和医患服务自动化; 用药咨询、处方/复购推荐和药事服务自动化,14,15,3,4,5,6,47,互联网医疗平台有问诊分诊和服务自动化空间; 已有官网/产品页信号,financing; company_site_evidence
伯乐实验有限公司,,China,CN,,chronic_disease_management; remote_patient_monitoring,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=036105223607342025092803570325,1,1,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访,15,11,8,0,6,6,46,远程监测适合风险分层和异常预警; 慢病管理具备个性化随访和 AI 教练空间; 有监管/官方目录证据,website; financing; company_site_evidence
安徽爱视睿医疗科技有限公司,,China,CN,,clinical_workflow,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697892077001020260513021547627,4,8,医生工作流、病历摘要和临床文档自动化,17,5,8,2,5,9,46,临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
英国雅培糖尿病护理公司Abbott Diabetes Care Ltd.,,China,CN,,chronic_disease_management; remote_patient_monitoring,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=00093815713579202205260441100,1,1,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访,15,11,8,0,6,6,46,远程监测适合风险分层和异常预警; 慢病管理具备个性化随访和 AI 教练空间; 有监管/官方目录证据,website; financing; company_site_evidence
welldoc,WellDoc; Welldoc; BlueStar,US,US,Columbia,chronic_disease_management; digital_therapeutics,B,https://www.welldoc.com/,https://dtxalliance.org/members/welldoc/,1,3,慢病管理 AI 教练与个性化随访,17,5,10,7,0,6,45,慢病管理具备个性化随访和 AI 教练空间; 已有官网/产品页信号,financing; company_site_evidence
