companyName,productName,productType,indicationOrUse,sourceType,regulatoryOrDirectoryId,approvalOrListingDate,status,sourceUrl,categories,evidenceStrength
,High-sensitivity troponin tests for the early rule out of NSTEMI (HTG552),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 26 August 2020; published 2020-08-26,nice_digital_health,HTG552,2020-08-26,Published,https://www.nice.org.uk/guidance/htg552,,strong_official_product
,High-throughput non-invasive prenatal testing for fetal RHD genotype (HTG420),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 9 November 2016; published 2016-11-09,nice_digital_health,HTG420,2016-11-09,Published,https://www.nice.org.uk/guidance/htg420,,strong_official_product
,ImmunoCAP ISAC 112 for multiplex allergen testing (HTG413),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 18 May 2016; published 2016-05-18,nice_digital_health,HTG413,2016-05-18,Published,https://www.nice.org.uk/guidance/htg413,,strong_official_product
,Implantable cardiac monitors to detect atrial fibrillation after cryptogenic stroke (HTG553),remote_patient_monitoring,Product type: Guidance Programme: HealthTech guidance Published : 2 September 2020; published 2020-09-02,nice_digital_health,HTG553,2020-09-02,Published,https://www.nice.org.uk/guidance/htg553,remote_patient_monitoring,strong_official_product
,Intraoperative tests (RD‑100i OSNA system and Metasin test) for detecting sentinel lymph node metastases in breast cancer (HTG315),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 7 August 2013; published 2013-08-07,nice_digital_health,HTG315,2013-08-07,Published,https://www.nice.org.uk/guidance/htg315,,strong_official_product
,KardiaMobile 6L for measuring cardiac QT interval in adults having antipsychotic medication: early value assessment (HTG694),remote_patient_monitoring,Product type: Guidance Programme: HealthTech guidance Published : 26 September 2023; published 2023-09-26,nice_digital_health,HTG694,2023-09-26,Published,https://www.nice.org.uk/guidance/htg694,remote_patient_monitoring,strong_official_product
,KardiaMobile for detecting atrial fibrillation (HTG606),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Last updated : 25 July 2023 Published : 6 January 2022; published 2022-01-06,nice_digital_health,HTG606,2022-01-06,Published,https://www.nice.org.uk/guidance/htg606,,strong_official_product
,Lead-I ECG devices for detecting symptomatic atrial fibrillation using single time point testing in primary care (HTG508),remote_patient_monitoring,Product type: Guidance Programme: HealthTech guidance Published : 8 May 2019; published 2019-05-08,nice_digital_health,HTG508,2019-05-08,Published,https://www.nice.org.uk/guidance/htg508,remote_patient_monitoring,strong_official_product
,Magtrace and Sentimag system for locating sentinel lymph nodes for breast cancer (HTG642),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 5 October 2022; published 2022-10-05,nice_digital_health,HTG642,2022-10-05,Published,https://www.nice.org.uk/guidance/htg642,,strong_official_product
,Molecular testing strategies for Lynch syndrome in people with colorectal cancer (HTG430),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 22 February 2017; published 2017-02-22,nice_digital_health,HTG430,2017-02-22,Published,https://www.nice.org.uk/guidance/htg430,,strong_official_product
,MRI fusion biopsy systems for diagnosing prostate cancer (HTG678),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 24 May 2023; published 2023-05-24,nice_digital_health,HTG678,2023-05-24,Published,https://www.nice.org.uk/guidance/htg678,,strong_official_product
,MRI-based technologies for assessing non-alcoholic fatty liver disease (HTG655),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 12 January 2023; published 2023-01-12,nice_digital_health,HTG655,2023-01-12,Published,https://www.nice.org.uk/guidance/htg655,,strong_official_product
,Multiple frequency bioimpedance devices to guide fluid management in people with chronic kidney disease having dialysis (HTG441),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 21 June 2017; published 2017-06-21,nice_digital_health,HTG441,2017-06-21,Published,https://www.nice.org.uk/guidance/htg441,chronic_disease_management,strong_official_product
,"New generation cardiac CT scanners (Aquilion ONE, Brilliance iCT, Discovery CT750 HD and Somatom Definition Flash) for cardiac imaging in people with suspected or known coronary artery disease in whom imaging is difficult with earlier generation CT scanners (HTG281)",remote_patient_monitoring,Product type: Guidance Programme: HealthTech guidance Last updated : 6 July 2017 Published : 25 January 2012; published 2012-01-25,nice_digital_health,HTG281,2012-01-25,Published,https://www.nice.org.uk/guidance/htg281,remote_patient_monitoring,strong_official_product
,PLGF-based testing to help diagnose suspected preterm pre-eclampsia (HTG630),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 27 July 2022; published 2022-07-27,nice_digital_health,HTG630,2022-07-27,Published,https://www.nice.org.uk/guidance/htg630,,strong_official_product
,Point-of-care creatinine devices to assess kidney function before CT imaging with intravenous contrast (HTG530),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 13 November 2019; published 2019-11-13,nice_digital_health,HTG530,2019-11-13,Published,https://www.nice.org.uk/guidance/htg530,,strong_official_product
,"Procalcitonin testing for diagnosing and monitoring sepsis (ADVIA Centaur BRAHMS PCT assay, BRAHMS PCT Sensitive Kryptor assay, Elecsys BRAHMS PCT assay, LIAISON BRAHMS PCT assay and VIDAS BRAHMS PCT assay) (HTG386)",remote_patient_monitoring,Product type: Guidance Programme: HealthTech guidance Published : 7 October 2015; published 2015-10-07,nice_digital_health,HTG386,2015-10-07,Published,https://www.nice.org.uk/guidance/htg386,remote_patient_monitoring,strong_official_product
,"ProKnow cloud-based system for radiotherapy data storage, communication and management: early value assessment (HTG664)",digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Last updated : 14 March 2024 Published : 28 March 2023; published 2023-03-28,nice_digital_health,HTG664,2023-03-28,Published,https://www.nice.org.uk/guidance/htg664,,strong_official_product
,QAngio XA 3D QFR and CAAS vFFR imaging software for assessing coronary stenosis during invasive coronary angiography (HTG571),samd_or_medical_software,Product type: Guidance Programme: HealthTech guidance Published : 17 March 2021; published 2021-03-17,nice_digital_health,HTG571,2021-03-17,Published,https://www.nice.org.uk/guidance/htg571,samd,strong_official_product
,Rapid tests for group A streptococcal infections in people with a sore throat (HTG531),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 13 November 2019; published 2019-11-13,nice_digital_health,HTG531,2019-11-13,Published,https://www.nice.org.uk/guidance/htg531,,strong_official_product
,Robot-assisted surgery for orthopaedic procedures: early value assessment (HTG743),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 17 April 2025; published 2025-04-17,nice_digital_health,HTG743,2025-04-17,Published,https://www.nice.org.uk/guidance/htg743,,strong_official_product
,Robot-assisted surgery for soft tissue procedures: early value assessment (HTG742),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 17 April 2025; published 2025-04-17,nice_digital_health,HTG742,2025-04-17,Published,https://www.nice.org.uk/guidance/htg742,,strong_official_product
,SepsiTest assay for rapidly identifying bloodstream bacteria and fungi (HTG400),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Last updated : 19 February 2020 Published : 10 February 2016; published 2016-02-10,nice_digital_health,HTG400,2016-02-10,Published,https://www.nice.org.uk/guidance/htg400,,strong_official_product
,Sleepio to treat insomnia and insomnia symptoms (HTG624),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 20 May 2022; published 2022-05-20,nice_digital_health,HTG624,2022-05-20,Published,https://www.nice.org.uk/guidance/htg624,sleep_health,strong_official_product
,Testing strategies for Lynch syndrome in people with endometrial cancer (HTG557),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 28 October 2020; published 2020-10-28,nice_digital_health,HTG557,2020-10-28,Published,https://www.nice.org.uk/guidance/htg557,,strong_official_product
,Tests in secondary care to identify people at high risk of ovarian cancer (HTG453),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 15 November 2017; published 2017-11-15,nice_digital_health,HTG453,2017-11-15,Published,https://www.nice.org.uk/guidance/htg453,,strong_official_product
,"Tests to help assess risk of acute kidney injury for people being considered for critical care admission (ARCHITECT and Alinity i Urine NGAL assays, BioPorto NGAL test and NephroCheck test) (HTG544)",digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 17 June 2020; published 2020-06-17,nice_digital_health,HTG544,2020-06-17,Published,https://www.nice.org.uk/guidance/htg544,,strong_official_product
,The EOS 2D/3D imaging system (HTG274),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 26 October 2011; published 2011-10-26,nice_digital_health,HTG274,2011-10-26,Published,https://www.nice.org.uk/guidance/htg274,,strong_official_product
,Therapeutic monitoring of TNF-alpha inhibitors in rheumatoid arthritis (HTG521),remote_patient_monitoring,Product type: Guidance Programme: HealthTech guidance Published : 10 July 2019; published 2019-07-10,nice_digital_health,HTG521,2019-07-10,Published,https://www.nice.org.uk/guidance/htg521,remote_patient_monitoring,strong_official_product
,Thopaz+ portable digital system for managing chest drains (HTG465),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Last updated : 6 June 2022 Published : 21 March 2018; published 2018-03-21,nice_digital_health,HTG465,2018-03-21,Published,https://www.nice.org.uk/guidance/htg465,,strong_official_product
,Virtual chromoendoscopy to assess colorectal polyps during colonoscopy (HTG438),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 10 May 2017; published 2017-05-10,nice_digital_health,HTG438,2017-05-10,Published,https://www.nice.org.uk/guidance/htg438,,strong_official_product
,Virtual reality technologies for treating agoraphobia or agoraphobic avoidance: early value assessment (HTG701),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 15 November 2023; published 2023-11-15,nice_digital_health,HTG701,2023-11-15,Published,https://www.nice.org.uk/guidance/htg701,,strong_official_product
,Virtual Touch Quantification to diagnose and monitor liver fibrosis in chronic hepatitis B and C (HTG385),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Last updated : 17 January 2020 Published : 23 September 2015; published 2015-09-23,nice_digital_health,HTG385,2015-09-23,Published,https://www.nice.org.uk/guidance/htg385,chronic_disease_management,strong_official_product
,Virtual ward platform technologies for acute respiratory infections: early value assessment (HTG697),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 12 October 2023; published 2023-10-12,nice_digital_health,HTG697,2023-10-12,Published,https://www.nice.org.uk/guidance/htg697,,strong_official_product
,VivaScope 1500 and 3000 imaging systems for detecting skin cancer lesions (HTG388),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 11 November 2015; published 2015-11-11,nice_digital_health,HTG388,2015-11-11,Published,https://www.nice.org.uk/guidance/htg388,,strong_official_product
,Zio XT for detecting cardiac arrhythmias (HTG562),remote_patient_monitoring,Product type: Guidance Programme: HealthTech guidance Published : 1 December 2020; published 2020-12-01,nice_digital_health,HTG562,2020-12-01,Published,https://www.nice.org.uk/guidance/htg562,remote_patient_monitoring,strong_official_product
 江西维德医疗健康管理有限公司,一次性医用防护服,digital_health_or_medical_device_software,NMPA UDI 06970360995510; GS1; 规格：180（XXL）,nmpa_udi,06970360995510,,--,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=06970360995510202404121206390,health_management_platform,strong_official_product
 江西维德医疗健康管理有限公司,医用防护口罩,digital_health_or_medical_device_software,NMPA UDI 06970360996036; GS1; Ⅱ型 蝶形耳挂式（不带鼻垫），规格：12.8cm×13.5cm,nmpa_udi,06970360996036,,--,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=06970360996036202404121206310,health_management_platform,strong_official_product
"3M Health Care, Sarns",FLEXIBLE ARTERIAL CANNULAE,digital_health_or_medical_device_software,FDA 510(k) K771499; 1977-08-16; product code DWF,openfda_device_510k,K771499,1977-08-16,Substantially Equivalent,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K771499,,strong_official_product
"3M Health Care, Sarns",MODIFIED SARNS MEMBRANE OXYGENATOR,digital_health_or_medical_device_software,FDA 510(k) K863902; 1986-12-11; product code DTX,openfda_device_510k,K863902,1986-12-11,Substantially Equivalent,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K863902,,strong_official_product
"3M Health Care, Sarns",SARNS CARDIOPLEGIA CANNULAE (VAR. TYPES,digital_health_or_medical_device_software,FDA 510(k) K822210; 1982-08-24; product code DWF,openfda_device_510k,K822210,1982-08-24,Substantially Equivalent,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K822210,,strong_official_product
3Shape A/S,Abutment Design,digital_health_or_medical_device_software,FDA 510(k) K200100; 2020-10-07; product code PNP,openfda_device_510k,K200100,2020-10-07,Substantially Equivalent,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K200100,,strong_official_product
Abbott Diabetes Care,FREESTYLE PRECISION PRO BLOOD GLUCOSE AND B-KETONE MONITORING SYSTEM,remote_patient_monitoring,FDA 510(k) K130094; 2013-06-27; product code NBW,openfda_device_510k,K130094,2013-06-27,Substantially Equivalent,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K130094,remote_patient_monitoring,strong_official_product
"Abbott Diabetes Care, Inc.",FREESTYLE 600 BLOOD GLUCOSE MONITORING SYSTEM,remote_patient_monitoring,FDA 510(k) K050500; 2005-06-27; product code NBW,openfda_device_510k,K050500,2005-06-27,Substantially Equivalent,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K050500,remote_patient_monitoring,strong_official_product
"Abbott Diabetes Care, Inc.",FREESTYLE AVIATOR INSULIN DELIVERY AND BLOOD GLUCOSE MONITORING SYSTEM,remote_patient_monitoring,FDA 510(k) K083225; 2009-02-20; product code LZG,openfda_device_510k,K083225,2009-02-20,Substantially Equivalent,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K083225,remote_patient_monitoring,strong_official_product
"Abbott Diabetes Care, Inc.",FreeStyle Libre 2 Flash Glucose Monitoring System,remote_patient_monitoring,FDA 510(k) K193371; 2020-06-12; product code QLG,openfda_device_510k,K193371,2020-06-12,Substantially Equivalent,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K193371,remote_patient_monitoring,strong_official_product
"Abbott Diabetes Care, Inc.",FreeStyle Libre 3 Continuous Glucose Monitoring System,remote_patient_monitoring,FDA 510(k) K212132; 2022-05-26; product code QLG,openfda_device_510k,K212132,2022-05-26,Substantially Equivalent,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K212132,remote_patient_monitoring,strong_official_product
"Abbott Diabetes Care, Inc.",FreeStyle Precision Neo Blood Glucose Test Strips,digital_health_or_medical_device_software,FDA 510(k) K171941; 2017-09-27; product code NBW,openfda_device_510k,K171941,2017-09-27,Substantially Equivalent,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K171941,,strong_official_product
"Abbott Diabetes Care, Inc.",FREESTYLE PRECISION PRO BLOOD GLUCOSE AND B-KETONE MONITORING SYSTEM,remote_patient_monitoring,FDA 510(k) K132511; 2013-12-24; product code NBW,openfda_device_510k,K132511,2013-12-24,Substantially Equivalent,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K132511,remote_patient_monitoring,strong_official_product
"Abbott Diabetes Care, Inc.",FREESTYLE TRACKER DIABETES MANAGEMENT SYSTEM,digital_health_or_medical_device_software,FDA 510(k) K020866; 2002-06-11; product code NBW,openfda_device_510k,K020866,2002-06-11,Substantially Equivalent,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K020866,chronic_disease_management,strong_official_product
